route_id,service_id,trip_id,direction_id,block_id,shape_id,trip_type
290,X.441,5972651,0,9070,275989,
290,X.441,5972650,0,9069,275989,
290,X.441,5972649,0,9067,275989,
290,X.441,5972648,0,9065,275989,
290,X.441,5972647,0,9068,275989,
290,X.441,5972646,0,9070,275989,
290,X.441,5972645,0,9069,275989,
290,X.441,5972644,0,9063,275989,
290,X.441,5972643,0,9067,275989,
290,X.441,5972642,0,9066,275989,
290,X.441,5972641,0,9061,275989,
290,X.441,5972640,0,9065,275989,
290,X.441,5972639,0,9062,275989,
290,X.441,5972638,0,9068,275989,
290,X.441,5972637,0,9060,275989,
290,X.441,5972636,0,9070,275989,
290,X.441,5972635,0,9064,275989,
290,X.441,5972634,0,9069,275989,
290,X.441,5972633,0,9063,275989,
290,X.441,5972632,0,9067,275989,
290,X.441,5972631,0,9066,275989,
290,X.441,5972630,0,9061,275989,
290,X.441,5972629,0,9065,275989,
290,X.441,5972628,0,9062,275989,
290,X.441,5972627,0,9068,275989,
290,X.441,5972626,0,9060,275989,
290,X.441,5972625,0,9070,275989,
290,X.441,5972624,0,9064,275989,
290,X.441,5972623,0,9069,275989,
290,X.441,5972622,0,9063,275989,
290,X.441,5972621,0,9067,275989,
290,X.441,5972620,0,9066,275989,
290,X.441,5972619,0,9061,275989,
290,X.441,5972618,0,9065,275989,
290,X.441,5972617,0,9062,275989,
290,X.441,5972616,0,9068,275989,
290,X.441,5972615,0,9060,275989,
290,X.441,5972614,0,9070,275989,
290,X.441,5972613,0,9064,275989,
290,X.441,5972612,0,9069,275989,
290,X.441,5972611,0,9063,275989,
290,X.441,5972610,0,9067,275989,
290,X.441,5972609,0,9066,275989,
290,X.441,5972608,0,9061,275989,
290,X.441,5972607,0,9065,275989,
290,X.441,5972606,0,9062,275989,
290,X.441,5972605,0,9068,275989,
290,X.441,5972604,0,9060,275989,
290,X.441,5972603,0,9070,275989,
290,X.441,5972602,0,9064,275989,
290,X.441,5972601,0,9069,275989,
290,X.441,5972600,0,9063,275989,
290,X.441,5972599,0,9067,275989,
290,X.441,5972598,0,9066,275989,
290,X.441,5972597,0,9061,275989,
290,X.441,5972596,0,9065,275989,
290,X.441,5972595,0,9062,275989,
290,X.441,5972594,0,9060,275989,
290,X.441,5972593,0,9064,275989,
290,X.441,5972921,1,9070,275992,
290,X.441,5972920,1,9069,275992,
290,X.441,5972919,1,9067,275992,
290,X.441,5972918,1,9065,275992,
290,X.441,5972917,1,9068,275992,
290,X.441,5972916,1,9070,275992,
290,X.441,5972592,0,9063,275989,
290,X.441,5972591,0,9061,275989,
290,X.441,5972590,0,9062,275989,
290,X.441,5972589,0,9060,275989,
290,X.441,5972915,1,9069,275992,
290,X.441,5972914,1,9063,275992,
290,X.441,5972913,1,9067,275992,
290,X.441,5972912,1,9066,275992,
290,X.441,5972911,1,9061,275992,
290,X.441,5972910,1,9065,275992,
290,X.441,5972909,1,9062,275992,
290,X.441,5972908,1,9068,275992,
